Unit,bronze_preban_count,bronze_preban_pct,silver_preban_count,silver_preban_pct,gold_preban_count,gold_preban_pct,master_preban_count,master_preban_pct,challenger_preban_count,challenger_preban_pct,champion_preban_count,champion_preban_pct,legend_preban_count,legend_preban_pct,total
Melissa,1,7.799703611262772e-05,0,0.0,1,3.253407944822201e-05,0,0.0,0,0.0,0,0.0,0,0.0,2
Watcher Schuri,0,0.0,1,5.1015202530354045e-05,0,0.0,1,5.089058524173028e-05,0,0.0,0,0.0,0,0.0,2
Corvus,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.986785019697801e-05,0,0.0,1
Godmother,0,0.0,0,0.0,1,3.253407944822201e-05,0,0.0,0,0.0,0,0.0,0,0.0,1
Mascot Hazel,0,0.0,0,0.0,0,0.0,1,5.089058524173028e-05,0,0.0,0,0.0,0,0.0,1
Captain Rikoris,0,0.0,0,0.0,0,0.0,1,5.089058524173028e-05,0,0.0,0,0.0,0,0.0,1
Clarissa,0,0.0,0,0.0,0,0.0,0,0.0,1,7.064641469445426e-05,0,0.0,0,0.0,1
Baiken,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Nemunas,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Ainos,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Glenn,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Lilibet,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Celestial Mercedes,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Ludwig,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Tywin,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Blaze Dingo,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Angelic Montmorancy,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Alexa,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Bask,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Angelica,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Achates,1,7.799703611262772e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Lorina,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Maya,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Chaos Inquisitor,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Dingo,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Furious,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Righteous Thief Roozid,0,0.0,1,5.1015202530354045e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
Otillie,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.986785019697801e-05,0,0.0,1
